keyword,mem,length,load_time
abu sayyaf,4865767,31381,0.23550009727478027
afghanistan,968202453,6246447,45.31439185142517
agro,173245992,1117696,9.340182065963745
al-qaeda,122046622,787386,5.864598035812378
al-qaeda in the arabian peninsula,242026,1558,0.2600901126861572
al-qaeda in the islamic maghreb,173973,1119,0.02300715446472168
al-shabaab,18349519,118373,0.9706888198852539
ammonium nitrate,2227611,14361,0.14244985580444336
biological weapon,1440179,9281,0.07174015045166016
car bomb,74192061,478647,3.2090420722961426
chemical weapon,10538457,67979,0.562371015548706
conventional weapon,288886,1858,0.036679983139038086
dirty bomb,9855551,63573,0.4229409694671631
eco-terrorism,628197,4047,0.042558908462524414
environmental terrorism,137222,882,0.015496969223022461
euskadi ta askatasuna,228079,1461,0.014285802841186523
extremism,55538658,358294,2.734477996826172
farc,553848730,3573206,26.877547025680542
fundamentalism,22248274,143526,1.583066701889038
hamas,648181655,4181797,32.523051023483276
hezbollah,40189679,259277,3.038918972015381
improvised explosive device,1452690,9366,0.15968704223632812
iran,3270850074,21102238,273.12153601646423
iraq,1530368273,9873323,140.07964277267456
irish republican army,783019,5041,2.799363851547241
islamist,155708870,1004562,7.137926340103149
jihad,342291226,2208310,15.91747498512268
nationalism,47336082,305374,2.629159927368164
nigeria,3101185190,20007626,220.365957736969
nuclear,1528390409,9860563,72.91503691673279
nuclear enrichment,3812867,24593,8.927965879440308
palestine liberation front,17231,109,2.1333250999450684
pirates,2616191136,16878632,160.44155287742615
plo,201551066,1300318,15.027318000793457
political radicalism,60933,391,0.42248010635375977
recruitment,970214011,6259425,44.13036394119263
somalia,321910033,2076819,15.855634212493896
suicide attack,24404292,157436,1.4223461151123047
suicide bomber,76492889,493491,3.353994131088257
taliban,598092678,3858642,26.805471897125244
tamil tigers,1250932,8060,0.6816139221191406
tehrik-i-taliban pakistan,218540,1404,0.054258108139038086
terror,2362431328,15241472,127.7719829082489
terrorism,481497811,3106417,27.226853132247925
weapons-grade,4045884,26092,0.8936986923217773
yemen,519440710,3351210,25.210480213165283
